,game,platform,rating
0,Project CARS,PC,83
1,Crush,PSP,83
2,Total War: WARHAMMER II - Curse of the Vampire Coast,PC,83
3,Riven: The Sequel to Myst,PC,83
4,Guardian Heroes,Xbox 360,83
5,DIRT 5,Xbox One,83
6,Borderlands,PlayStation 3,83
7,Duck Game,Switch,83
8,Need for Speed Underground,Xbox,83
9,Freedom Fighters,GameCube,83
10,High Heat Major League Baseball 2004,Xbox,83
11,FIFA Soccer 2003,PC,83
12,Icewind Dale II,PC,83
13,Age of Empires,PC,83
14,EverQuest II: Echoes of Faydwer,PC,83
15,Pocket Card Jockey,3DS,83
16,Dragon Quest Builders,PlayStation 4,83
17,Transistor,PlayStation 4,83
18,Bleach: The Blade of Fate,DS,83
19,Lumines: Electronic Symphony,PlayStation Vita,83
20,Prince of Persia: Warrior Within,Xbox,83
21,Splatoon 2,Switch,83
22,Dark Souls II: Crown of the Ivory King,Xbox 360,83
23,Yoku's Island Express,PlayStation 4,83
24,Everyday Shooter,PlayStation 3,83
25,Crackdown,Xbox 360,83
26,Observer: System Redux,PC,83
27,EverQuest II,PC,83
28,Yakuza 6: The Song of Life,PlayStation 4,83
29,Call of Duty 3,Xbox,83
30,UFC Undisputed 2009,Xbox 360,83
31,Fable: The Lost Chapters,Xbox,83
32,NBA 2K19,Xbox One,83
33,Terraria,PC,83
34,Madden NFL 09,Xbox 360,83
35,Destiny 2,PC,83
36,Final Fantasy XIV Online: A Realm Reborn,PC,83
37,MLB 06: The Show,PlayStation 2,83
38,Magic: Duels of the Planeswalkers 2014,Xbox 360,83
39,Card Hunter (2013),PC,83
40,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,PC,83
41,Madden NFL 17,Xbox One,83
42,Just Cause 2,PlayStation 3,83
43,Picross DS,DS,83
44,Fight Night Round 3,PlayStation 3,83
45,Spider-Man 2,Xbox,83
46,Knockout City,Switch,83
47,Little Nightmares II,PC,83
48,Knights and Bikes,Switch,83
49,Shovel Knight: King of Cards,Switch,83
50,Battle Chef Brigade,PlayStation 4,83
51,The Banner Saga 3,Switch,83
52,Steins;Gate,PlayStation 3,83
53,SteamWorld Dig,Xbox One,83
54,Oddworld: Stranger's Wrath HD,PlayStation Vita,83
55,NHL 13,Xbox 360,83
56,Madden NFL 13,PlayStation 3,83
57,Fallout: New Vegas - Old World Blues,Xbox 360,83
58,Darksiders,PC,83
59,Clubhouse Games,DS,83
60,Super Puzzle Fighter II,Game Boy Advance,83
61,Tom Clancy's Rainbow Six 3: Raven Shield,PC,83
62,Xenosaga Episode I: Der Wille zur Macht,PlayStation 2,83
63,World of Outlaws: Sprint Cars,PC,83
64,Street Fighter Alpha 3,Game Boy Advance,83
65,Colin McRae Rally 2.0,PC,83
66,Combat Flight Simulator 2: WWII Pacific Theater,PC,83
67,Resistance 3,PlayStation 3,83
68,Orcs Must Die! 2,PC,83
69,Metro Redux,PlayStation 4,83
70,Octopath Traveler,Switch,83
71,BYE-BYE BOXBOY!,3DS,83
72,Ratchet & Clank Collection,PlayStation 3,83
73,Hitman,PC,83
74,Picross 3D,DS,83
75,Gunstar Super Heroes,Game Boy Advance,83
76,Madden NFL 07,Xbox,83
77,Stretchmo,3DS,83
78,The Misadventures of P.B. Winterbottom,Xbox 360,83
79,Trials of Fire,PC,83
80,Mega Man Zero / ZX Legacy Collection,Switch,83
81,The Swapper,PlayStation 4,83
82,Mighty Flip Champs!,DS,83
83,Persona 2: Eternal Punishment,PlayStation,83
84,Prey (2006),PC,83
85,LEGO Marvel Super Heroes,PlayStation 4,83
