,game,platform,rating
0,DeathSpank,PlayStation 3,79
1,MLB 09: The Show,PlayStation 2,79
2,NHL 2K7,PlayStation 3,79
3,Shadowgrounds Survivor,PC,79
4,Prey,Xbox 360,79
5,Fight'N Rage,Switch,79
6,Mega Man 11,PC,79
7,Shooty Fruity,PlayStation 4,79
8,The Inner World: The Last Wind Monk,PC,79
9,Cat Quest,PC,79
10,Teslagrad,Wii U,79
11,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,Wii,79
12,OutRun2,Xbox,79
13,Armed and Dangerous,Xbox,79
14,Gothic II,PC,79
15,Port Royale,PC,79
16,Deadly Dozen: Pacific Theater,PC,79
17,Shattered Galaxy,PC,79
18,Namco Museum,Game Boy Advance,79
19,Close Combat: Invasion: Normandy,PC,79
20,Battlefield 4,Xbox 360,79
21,ZEN Pinball 3D,3DS,79
22,King's Bounty: The Legend,PC,79
23,Metal Slug Advance,Game Boy Advance,79
24,Buffy the Vampire Slayer,Xbox,79
25,Mad Rat Dead,Switch,79
26,Bleed 2,Switch,79
27,ECHO,PlayStation 4,79
28,Hitman - Episode 2: Sapienza,Xbox One,79
29,SMITE,PlayStation 4,79
30,Wolfenstein: The New Order,Xbox One,79
31,RAGE,PC,79
32,Call of Duty: Black Ops - Escalation,Xbox 360,79
33,The Misadventures of P.B. Winterbottom,PC,79
34,UEFA EURO 2008,PlayStation 3,79
35,Heavenly Sword,PlayStation 3,79
36,Dragon Age II,Xbox 360,79
37,Lost Words: Beyond the Page,Switch,79
38,NCAA Football 13,PlayStation 3,79
39,Tales of Vesperia,Xbox 360,79
40,Fat Princess,PlayStation 3,79
41,Tiger Woods PGA Tour 08,PlayStation 3,79
42,Uru: Ages Beyond Myst,PC,79
43,Resident Evil 3,PlayStation 4,79
44,Pillars of Eternity: The White March - Part 2,PC,79
45,Greed Corp,Xbox 360,79
46,Nioh 2: Darkness in the Capital,PlayStation 4,79
47,WWE SmackDown vs. Raw 2009,Wii,79
48,Little Inferno,Wii U,79
49,Guild Wars: Eye of the North,PC,79
50,Outlast 2,Switch,79
51,Summon Night: Swordcraft Story 2,Game Boy Advance,79
52,Driveclub Bikes,PlayStation 4,79
53,Anomaly: Warzone Earth,Xbox 360,79
54,DOOM,Switch,79
55,DIRT 5,PlayStation 4,79
56,Semblance,PC,79
57,Batman: The Enemy Within - The Telltale Series,PC,79
58,Dead Space: Extraction,PlayStation 3,79
59,Project: Snowblind,Xbox,79
60,Mafia: Definitive Edition,PC,79
61,LEGO Harry Potter: Years 1-4,Wii,79
62,LEGO Harry Potter: Years 1-4,PlayStation 3,79
63,Trackmania Turbo,PC,79
64,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PC,79
65,When The Past Was Around,Switch,79
66,NBA 2K21,PlayStation 5,79
67,Pit People,Xbox One,79
68,Nioh: Defiant Honor,PlayStation 4,79
69,Enslaved: Odyssey to the West - Pigsy's Perfect 10,PlayStation 3,79
70,Mini Ninjas,Wii,79
71,Carcassonne,Xbox 360,79
72,Harvest Moon: A Wonderful Life,GameCube,79
73,Sphinx and the Cursed Mummy,Xbox,79
74,EverQuest: Lost Dungeons of Norrath,PC,79
75,Battlefield 1942: Secret Weapons of WWII,PC,79
76,Robot Alchemic Drive,PlayStation 2,79
77,NHL 2003,PlayStation 2,79
78,The Sims: Unleashed,PC,79
79,NHL Hitz 20-02,GameCube,79
80,Worms World Party,Dreamcast,79
81,Resident Evil 3: Nemesis,Dreamcast,79
82,RayStorm,PlayStation,79
83,The King of Fighters XIV,PlayStation 4,79
84,Madden NFL 20,Xbox One,79
85,Tales of Berseria,PlayStation 4,79
86,Star Wars: Squadrons,PlayStation 4,79
87,Life is Strange 2: Episode 2 - Rules,PC,79
88,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,PlayStation Vita,79
89,Halfbrick Echoes,PSP,79
90,Race the Sun,PC,79
91,MotorStorm Arctic Edge,PSP,79
92,I Am Dead,Switch,79
93,GRID,Xbox One,79
94,Hitman - Episode 3: Marrakesh,PC,79
95,The Sims 3: Pets,PC,79
96,Pac-Man 256,PlayStation 4,79
97,MTX Mototrax,Xbox,79
98,Trials Rising,PlayStation 4,79
99,Prototype,PC,79
100,Alienation,PlayStation 4,79
101,The Last Show of Mr. Chardish,PC,79
102,Fury Unleashed,PC,79
103,River City Girls,Switch,79
104,Deru - The Art of Cooperation,Switch,79
105,Steredenn: Binary Stars,Switch,79
106,Zwei: The Ilvard Insurrection,PC,79
107,Torment: Tides of Numenera,Xbox One,79
108,Hand of Fate,PlayStation 4,79
109,Outland,PC,79
110,Stick it to the Man!,PC,79
111,Street Fighter X Tekken,PC,79
112,Assault Heroes,Xbox 360,79
113,Guilty Gear X,PlayStation 2,79
114,Perfect Dark,Xbox 360,79
115,Frozen Cortex,PC,79
116,Burnout Paradise Remastered,Xbox One,79
117,Tacoma,Xbox One,79
118,Sphinx and the Cursed Mummy,GameCube,79
119,Gears of War: Judgment,Xbox 360,79
120,Halo Wars 2,Xbox One,79
121,Anarcute,PC,79
122,Pool Nation,Xbox 360,79
123,Free Realms,PC,79
124,Homeworld: Deserts of Kharak,PC,79
125,L.A. Noire,Switch,79
126,Don't Starve,PC,79
127,Bleed 2,PlayStation 4,79
128,Hue,PC,79
129,Assault Android Cactus,PC,79
130,Chessmaster,Xbox,79
131,All-Star Baseball 2003,Xbox,79
132,Trainz,PC,79
133,NHL Hitz 20-02,Xbox,79
134,Super Dodge Ball Advance,Game Boy Advance,79
135,Super Smash Bros.,Nintendo 64,79
136,Observation,PC,79
137,Atelier Escha & Logy: Alchemists of the Dusk Sky,PlayStation 3,79
138,The Life and Suffering of Sir Brante,PC,79
139,Pro Evolution Soccer 2015,Xbox One,79
140,The Lord of the Rings: The Two Towers,Xbox,79
141,Tiger Woods PGA Tour 11,Xbox 360,79
142,River City Girls,PlayStation 4,79
143,Paper Beast,PlayStation 4,79
144,Twisted Metal: Head-On,PSP,79
145,Geometry Wars: Galaxies,DS,79
146,Final Fantasy III Pixel Remaster,PC,79
147,Neon Abyss,Switch,79
148,Wildfire,PC,79
149,Arise: A Simple Story,PC,79
150,Captain Toad: Treasure Tracker,3DS,79
151,Heat Signature,PC,79
152,Wonder Boy: The Dragon's Trap,Switch,79
153,Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,Wii,79
154,FIFA Soccer 08,PSP,79
155,Sonic Advance 3,Game Boy Advance,79
156,Chivalry: Medieval Warfare,PC,79
157,de Blob 2,Wii,79
158,Wolfenstein II: The New Colossus,Switch,79
159,World of Final Fantasy Maxima,Switch,79
160,FIFA 20,PlayStation 4,79
161,Wonder Boy: The Dragon's Trap,PlayStation 4,79
162,Overlord II,PC,79
163,Astrologaster,Switch,79
164,World End Syndrome,Switch,79
165,Victor Vran: Overkill Edition,Xbox One,79
166,NHL 06,Xbox,79
167,OutRun Online Arcade,Xbox 360,79
168,Band Hero,Wii,79
169,GRID Autosport,Switch,79
170,Hearthstone: Heroes of Warcraft - Journey to Un'Goro,PC,79
171,Frostpunk: The Last Autumn,PC,79
172,The Darkness II,PlayStation 3,79
173,Scram Kitty and His Buddy on Rails,Wii U,79
174,F.E.A.R. 2: Project Origin,PC,79
175,Lego Star Wars,GameCube,79
176,MLB Power Pros 2008,Wii,79
177,Major League Baseball 2K7,Xbox 360,79
178,Agent A: A Puzzle In Disguise,Switch,79
179,World to the West,Xbox One,79
180,Atelier Rorona Plus: The Alchemist of Arland,PlayStation Vita,79
181,Space Channel 5 Special Edition,PlayStation 2,79
182,Emergency Fire Response,PC,79
183,Downhill Domination,PlayStation 2,79
184,Lunar Legend,Game Boy Advance,79
185,2002 FIFA World Cup,Xbox,79
186,Breath of Fire,Game Boy Advance,79
187,Sky Odyssey,PlayStation 2,79
188,Mario Party,Nintendo 64,79
189,N+,PSP,79
190,Spider-Man 3,DS,79
191,Untitled Goose Game,PC,79
192,Silent Hill: Shattered Memories,Wii,79
193,Marble Blast Ultra,Xbox 360,79
194,echochrome ii,PlayStation 3,79
195,The Metronomicon,PC,79
196,Pro Evolution Soccer 2011,Xbox 360,79
197,Blizzard Arcade Collection,PC,79
198,Spellbreak,PC,79
199,Wasteland 3,PlayStation 4,79
200,Rival Megagun,PlayStation 4,79
201,The Book of Unwritten Tales 2,Xbox One,79
202,Tom Clancy's Rainbow Six Siege,PC,79
203,The Settlers 7: Paths to a Kingdom,PC,79
204,RollerCoaster Tycoon 3: Soaked!,PC,79
205,Subnautica: Below Zero,PlayStation 5,79
206,BlazBlue: Cross Tag Battle,Switch,79
207,Rune Factory Frontier,Wii,79
208,Mantis Burn Racing,Xbox One,79
209,Mighty Switch Force!,3DS,79
210,EVERSPACE,PC,79
211,Observer: System Redux,Xbox Series X,79
212,Angry Birds VR: Isle of Pigs,PC,79
213,Dark Souls II: Crown of the Old Iron King,PC,79
214,TrackMania 2 Valley,PC,79
215,Skies of Fury DX,Switch,79
216,State of Decay,PC,79
217,Rock Band 3,DS,79
218,Alba: a Wildlife Adventure,PC,79
219,High Hell,PC,79
220,Tom Clancy's The Division 2: Warlords of New York,PC,79
221,EA Sports UFC 2,PlayStation 4,79
222,F1 2013,Xbox 360,79
223,LEGO Harry Potter: Years 1-4,PC,79
224,World of Warcraft: Battle for Azeroth,PC,79
225,Mirror's Edge,PlayStation 3,79
226,The Gardens Between,Switch,79
227,Sid Meier's Civilization VI: Rise and Fall,PC,79
228,Mechstermination Force,Switch,79
229,Blue Dragon,Xbox 360,79
230,Final Fight: Double Impact,PlayStation 3,79
231,Curse of the Dead Gods,PlayStation 4,79
232,Olija,Xbox One,79
233,Mafia: Definitive Edition,Xbox One,79
234,Moving Out,PC,79
235,WRC 8 FIA World Rally Championship,PlayStation 4,79
236,Druidstone: The Secret of the Menhir Forest,PC,79
237,God's Trigger,Xbox One,79
238,Tacoma,PlayStation 4,79
239,Call of Duty: WWII,PlayStation 4,79
240,Monster Hunter Stories,3DS,79
241,Noitu Love: Devolution,Wii U,79
242,Extreme Exorcism,Wii U,79
243,CastleStorm,PlayStation Vita,79
244,Rift: Storm Legion,PC,79
245,Wizorb,PSP,79
246,Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,79
247,Madden NFL 12,PlayStation 3,79
248,Crayon Physics Deluxe,PC,79
249,Tony Hawk's Proving Ground,DS,79
250,Nancy Drew: Legend of the Crystal Skull,PC,79
251,Mario Strikers Charged,Wii,79
252,Mega Man Maverick Hunter X,PSP,79
253,EverQuest II: Desert of Flames,PC,79
254,Madden NFL 2005,Game Boy Advance,79
255,SimCity 4: Rush Hour,PC,79
256,The Simpsons: Hit & Run,GameCube,79
257,Tenchu: Wrath of Heaven,PlayStation 2,79
258,Uncommon Valor: Campaign for the South Pacific,PC,79
259,Deathrow,Xbox,79
260,Global Operations,PC,79
261,Burnout,PlayStation 2,79
262,Mega Man Battle Network,Game Boy Advance,79
263,StarLancer,Dreamcast,79
264,Shadow Warrior 2,PC,79
265,Dance Dance Revolution Ultramix 2,Xbox,79
266,Apotheon,PC,79
267,The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,Xbox One,79
268,Need for Speed: Most Wanted - A Criterion Game,PC,79
269,Star Wars: Battlefront II,PC,79
270,The Walking Dead: Season Two Episode 1 - All That Remains,PC,79
271,WWE SmackDown vs. Raw 2010,Wii,79
272,Roogoo,Xbox 360,79
273,Golf Story,Switch,79
274,DG2: Defense Grid 2,Xbox One,79
275,The Journey Down: Chapter Two,PC,79
