,game,platform,rating
0,Marvel Super Hero Squad,Wii,49
1,Dungeon Hunter: Alliance,PlayStation Vita,49
2,Monster 4x4: Masters of Metal,GameCube,49
3,Xbox Music Mixer,Xbox,49
4,Disney's PK: Out of the Shadows,PlayStation 2,49
5,ATV: Quad Power Racing,Game Boy Advance,49
6,NBA Jam 2002,Game Boy Advance,49
7,Salt Lake 2002,PlayStation 2,49
8,Ice Age: Scrat's Nutty Adventure,Switch,49
9,Adam's Venture Chronicles,PlayStation 3,49
10,CSI: Crime Scene Investigation: Hard Evidence,Wii,49
11,Spore Hero Arena,DS,49
12,Texas Hold 'Em Poker,Game Boy Advance,49
13,Lara Croft Tomb Raider: The Angel of Darkness,PC,49
14,Elements of War,PC,49
15,Top Gun,PlayStation 3,49
16,Knights Contract,Xbox 360,49
17,One Piece: Unlimited Cruise SP 2,3DS,49
18,Wheels of Destruction: World Tour,PlayStation 3,49
19,Mighty Morphin Power Rangers: Mega Battle,PlayStation 4,49
20,Mercenaries 2: World in Flames,PlayStation 2,49
21,Crisis on the Planet of the Apes VR,PlayStation 4,49
22,Red Goddess: Inner World,PlayStation 4,49
23,Over the Hedge,Game Boy Advance,49
24,Shaq Fu: A Legend Reborn,Switch,49
25,Dungeon Twister,PlayStation 3,49
26,The Unexpected Quest,Switch,49
27,Army of Two: The 40th Day,PSP,49
28,Bicycle Casino,Xbox,49
29,The Scorpion King: Rise of the Akkadian,GameCube,49
30,Operation Blockade,PC,49
31,Shadow the Hedgehog,Xbox,49
32,Saints Row: The Third - Genki Bowl VII,Xbox 360,49
33,Naruto Shippuden: Ninja Council 4,DS,49
34,Heatseeker,PSP,49
35,Digimon All-Star Rumble,PlayStation 3,49
36,Animal Paradise,DS,49
37,Nitrobike,Wii,49
38,Ninja Reflex,Wii,49
39,Pokemon Rumble U,Wii U,49
40,Asphalt: Injection,PlayStation Vita,49
41,Carnival Games for Nintendo Switch,Switch,49
42,Lucha Libre AAA Heroes del Ring,Xbox 360,49
43,Eragon,Xbox,49
44,Dungeons & Dragons: Daggerdale,PC,49
45,Pac-Man and the Ghostly Adventures,Xbox 360,49
46,Toxic Grind,Xbox,49
47,Stunt GP,PlayStation 2,49
48,Beyblade: Evolution,3DS,49
49,Yu-Gi-Oh! GX: The Beginning of Destiny,PlayStation 2,49
50,Over G Fighters,Xbox 360,49
51,Homefront: The Revolution,Xbox One,49
52,Blue Estate,PlayStation 4,49
53,Just Dance,Wii,49
54,Dragon Ball Z for Kinect,Xbox 360,49
55,YesterMorrow,Switch,49
56,Rugby 20,PlayStation 4,49
57,Fallout 76,Xbox One,49
58,De-formers,Xbox One,49
59,Space Invaders Revolution,DS,49
60,Pro Cast Sports Fishing,Xbox,49
61,RTX Red Rock,PlayStation 2,49
62,NCAA Final Four 2001,PlayStation 2,49
63,Red Faction: Battlegrounds,PlayStation 3,49
64,Super Rub a Dub,PlayStation 3,49
65,LA Cops,Xbox One,49
66,Vane,PlayStation 4,49
67,Namco Museum Remix,Wii,49
68,One Piece: Pirates' Carnival,GameCube,49
69,Corpse of Discovery,PC,49
70,Warriors of Might and Magic,PlayStation 2,49
71,Supremacy MMA,Xbox 360,49
72,Canvaleon,Wii U,49
73,LIGHT (2014),PC,49
74,Fist of the North Star: Ken's Rage 2,PlayStation 3,49
75,Dynasty Warriors: Gundam 2,Xbox 360,49
76,Garshasp: The Monster Slayer,PC,49
77,The Dukes of Hazzard: Return of the General Lee,Xbox,49
78,Pirates of the Caribbean: The Legend of Jack Sparrow,PC,49
79,Blade II,PlayStation 2,49
80,Shrek,Xbox,49
81,RC Revenge Pro,PlayStation 2,49
82,The Amazing Spider-Man 2,PlayStation 4,49
83,PixelJunk Raiders,Stadia,49
84,Dragon Ball Z: Sagas,PlayStation 2,49
85,Madden NFL Football,3DS,49
86,Immortal: Unchained,PlayStation 4,49
87,Theatre of War 3: Korea,PC,49
88,Deca Sports 2,Wii,49
89,Milanoir,PlayStation 4,49
90,Bad Bots,PC,49
91,World Championship Poker: Featuring Howard Lederer - All In,Xbox 360,49
92,Iron Sky: Invasion,PC,49
93,Castlevania Judgment,Wii,49
94,Calling,Wii,49
95,The Legend of Korra,Xbox One,49
96,Iron Man 2,PSP,49
97,Pirates of the Caribbean: The Curse of the Black Pearl,Game Boy Advance,49
98,RollerCoaster Tycoon 2: Wacky Worlds,PC,49
99,ShadowFlare,PC,49
100,Platoon: The 1st Airborne Cavalry Division in Vietnam,PC,49
101,Evil Dead: Hail to the King,Dreamcast,49
102,Ghost Rider,PSP,49
103,Toy Story Mania!,Wii,49
104,Ace of Spades,PC,49
105,Puzzle Arcade,Xbox 360,49
106,NFL Tour,Xbox 360,49
107,Whirlwind Over Vietnam,PC,49
108,Terminator Salvation,PC,49
