,game,platform,rating
0,CMT Presents: Karaoke Revolution Country,PlayStation 2,71
1,Tomodachi Life,3DS,71
2,9 Monkeys of Shaolin,PlayStation 4,71
3,Gray Dawn,PC,71
4,Klang,PC,71
5,Woah Dave!,PlayStation Vita,71
6,Sid Meier's Ace Patrol,PC,71
7,Hitman HD Trilogy,PlayStation 3,71
8,RoadKill,PlayStation 2,71
9,Billy Hatcher and the Giant Egg,GameCube,71
10,Vexx,GameCube,71
11,Kessen II,PlayStation 2,71
12,Time Crisis: Project Titan,PlayStation,71
13,Dead Island,Xbox 360,71
14,Boulder Dash-XL,Xbox 360,71
15,Far Cry New Dawn,PlayStation 4,71
16,Days Gone,PlayStation 4,71
17,The Escapists,PC,71
18,Madagascar,Xbox,71
19,Nioh 2: The First Samurai,PlayStation 4,71
20,Hitman - Episode 4: Bangkok,PlayStation 4,71
21,Star Wars Galaxies: An Empire Divided,PC,71
22,Corpse Party,PC,71
23,PAIN,PlayStation 3,71
24,Rugby 2005,PlayStation 2,71
25,Mad Riders,PlayStation 3,71
26,Where the Heart Leads,PlayStation 4,71
27,My Time At Portia,Switch,71
28,Kona,PlayStation 4,71
29,Aces of the Galaxy,Xbox 360,71
30,WWE Legends of WrestleMania,Xbox 360,71
31,"Warhammer 40,000: Inquisitor - Martyr",Xbox One,71
32,Dreamfall Chapters Book Two: Rebels,PC,71
33,Harry Potter and the Goblet of Fire,Game Boy Advance,71
34,Total Overdose: A Gunslinger's Tale in Mexico,Xbox,71
35,Forgotten Realms: Demon Stone,PlayStation 2,71
36,Bionic Commando,PlayStation 3,71
37,Heretic Kingdoms: The Inquisition,PC,71
38,Marc Ecko's Getting Up: Contents Under Pressure,Xbox,71
39,LEGO Worlds,PC,71
40,Lilly Looking Through,PC,71
41,Red Faction: Armageddon,PlayStation 3,71
42,Shrek SuperSlam,Xbox,71
43,Where the Heart Leads,PlayStation 5,71
44,Beyond Blue,Xbox One,71
45,Leisure Suit Larry: Wet Dreams Don't Dry,PlayStation 4,71
46,Earth Atlantis,Switch,71
47,Zeit Squared,Xbox 360,71
48,Retro City Rampage,PC,71
49,Runbow,PlayStation 4,71
50,The Fall of the Dungeon Guardians,PC,71
51,Asura's Wrath,PlayStation 3,71
52,SBK-09 Superbike World Championship,PlayStation 3,71
53,Song of the Deep,PC,71
54,Call of Duty: Advanced Warfare - Supremacy,Xbox One,71
55,Lords of the Fallen,Xbox One,71
56,Toukiden: The Age of Demons,PlayStation Vita,71
57,The Escapists,PlayStation 4,71
58,Mantis Burn Racing,PlayStation 4,71
59,Fenix Furia,PlayStation 4,71
60,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,PC,71
61,SaGa Frontier Remastered,Switch,71
62,Worms 4: Mayhem,PC,71
63,Elven Legacy,PC,71
64,LEGO Marvel's Avengers,PlayStation 4,71
65,Mutant Year Zero: Road to Eden - Seed of Evil,PC,71
66,Brian Lara International Cricket 2007,PC,71
67,Conflict: Desert Storm II - Back to Baghdad,Xbox,71
68,Industry Giant II,PC,71
69,RedCard 20-03,GameCube,71
70,ZooCube,Game Boy Advance,71
71,NCAA March Madness 2001,PlayStation,71
72,Mickey's Speedway USA,Nintendo 64,71
73,Shinobi,PlayStation 2,71
74,Battlefield 2: Euro Force,PC,71
75,Death end re;Quest,PlayStation 4,71
76,The Lost Crown: A Ghost-hunting Adventure,PC,71
77,This Is the Police,Xbox One,71
78,Ultra Street Fighter IV,PlayStation 4,71
79,Puddle,PlayStation 3,71
80,Phantasy Star Zero,DS,71
81,Might & Magic X: Legacy,PC,71
82,Fairy Tail,PlayStation 4,71
83,Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,PC,71
84,Unbox: Newbie's Adventure,Xbox One,71
85,The Simpsons Game,PlayStation 3,71
86,The Elder Scrolls Online,PC,71
87,Snake Pass,PC,71
88,FlatOut,Xbox,71
89,Rad,PC,71
90,Guitar Hero: Smash Hits,Xbox 360,71
91,Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,PC,71
92,TouchMaster,DS,71
93,"Warhammer 40,000: Gladius - Relics of War",PC,71
94,Cars,PlayStation 2,71
95,Aragami,PlayStation 4,71
96,Grand Slam Tennis 2,Xbox 360,71
97,Cars,GameCube,71
98,World Championship Poker 2: Featuring Howard Lederer,Xbox,71
99,BloodRayne 2,Xbox,71
100,Street Fighter X Mega Man,PC,71
101,Ontamarama,DS,71
102,Tom Clancy's Ghost Recon: Future Soldier,PC,71
103,Madden NFL 08,DS,71
104,GRIP: Combat Racing,PlayStation 4,71
105,Battlefield Hardline,PC,71
106,WWE SmackDown vs. Raw 2008,PlayStation 2,71
107,Unit 13,PlayStation Vita,71
108,Scribblenauts Unmasked: A DC Comics Adventure,Wii U,71
109,Nano Assault Neo,Wii U,71
110,Samurai Warriors,Xbox,71
111,Bloody Roar 3,PlayStation 2,71
112,Farpoint,PlayStation 4,71
113,9 Monkeys of Shaolin,PC,71
114,Willy Morgan and the Curse of Bone Town,PC,71
115,Project Warlock,Switch,71
116,SD Gundam G Generation Cross Rays,PC,71
117,Felix the Reaper,PC,71
118,Exception,Switch,71
119,Melbits World,PlayStation 4,71
120,Thea: The Awakening,Switch,71
121,Happy Birthdays,Switch,71
122,Swim Out,Switch,71
123,Bridge Constructor Portal,Switch,71
124,Romancing SaGa 2,PlayStation 4,71
125,Never Stop Sneakin',Switch,71
126,Resident Evil 7: biohazard - Not a Hero,PlayStation 4,71
127,The Sexy Brutale,Switch,71
