,game,platform,rating
0,Stikbold! A Dodgeball Adventure,PlayStation 4,75
1,Atelier Sophie: The Alchemist of the Mysterious Book,PlayStation 4,75
2,Inazuma Eleven Go: Shadow,3DS,75
3,WWE All Stars,Xbox 360,75
4,Magic: The Gathering - Duels of the Planeswalkers 2012,Xbox 360,75
5,Life is Strange: Episode 1 - Chrysalis,PlayStation 4,75
6,Star Wars Battlefront,Xbox One,75
7,Yooka-Laylee,Switch,75
8,Dance Dance Revolution Ultramix 3,Xbox,75
9,Two Worlds II,PC,75
10,Cloudberry Kingdom,PlayStation 3,75
11,Tiger Woods PGA Tour 13,PlayStation 3,75
12,Far Cry New Dawn,Xbox One,75
13,Zubo,DS,75
14,Grow Home,PC,75
15,The House of the Dead: Overkill - Extended Cut,PlayStation 3,75
16,DiRT Showdown,PlayStation 3,75
17,Fable III,PC,75
18,Smelter,Switch,75
19,Turnip Boy Commits Tax Evasion,Switch,75
20,Blizzard Arcade Collection,Switch,75
21,The Sinking City,PlayStation 5,75
22,Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,Switch,75
23,Cake Bash,Switch,75
24,Need for Speed: Hot Pursuit Remastered,PC,75
25,ScourgeBringer,Xbox One,75
26,Superliminal,Switch,75
27,Death Come True,Switch,75
28,Evan's Remains,PC,75
29,Arcade Spirits,Switch,75
30,"Yes, Your Grace",PC,75
31,Candleman,Switch,75
32,Headliner: NoviNews,Switch,75
33,We. The Revolution,Switch,75
34,MotoGP 19,Xbox One,75
35,X-Morph: Defense,Switch,75
36,City of Brass,Switch,75
37,The Council - Episode 4: Burning Bridges,PlayStation 4,75
38,Labyrinth of Refrain: Coven of Dusk,Switch,75
39,ONRUSH,PlayStation 4,75
40,The Council - Episode 1: The Mad Ones,PlayStation 4,75
41,Graceful Explosion Machine,PlayStation 4,75
42,Bulb Boy,Switch,75
43,Stars in Shadow,PC,75
44,Batman: The Telltale Series - Episode 4: Guardian of Gotham,Xbox One,75
45,Road to Ballhalla,PC,75
46,Resident Evil 5,Xbox One,75
47,Dengeki Bunko: Fighting Climax,PlayStation Vita,75
48,Airscape: The Fall of Gravity,PC,75
49,Call of Duty: Advanced Warfare - Reckoning,Xbox One,75
50,Call of Duty: Advanced Warfare - Ascendance,Xbox One,75
51,GRID Autosport,Xbox 360,75
52,Blood of the Werewolf,Xbox 360,75
53,Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,Xbox One,75
54,Akai Katana,Xbox 360,75
55,Supreme Commander 2,Xbox 360,75
56,The Sims 2 Apartment Life,PC,75
57,NBA 08,PSP,75
58,City Life: World Edition,PC,75
59,Bust-A-Move DS,DS,75
60,Legacy of Kain: Defiance,PlayStation 2,75
61,kill.switch,Xbox,75
62,Star Wars Rogue Squadron III: Rebel Strike,GameCube,75
63,Savage: The Battle for Newerth,PC,75
64,Hegemonia: Legions of Iron,PC,75
65,Need for Speed: Hot Pursuit 2,Xbox,75
66,The Sims: Vacation,PC,75
67,Victorious Boxers: Ippo's Road to Glory,PlayStation 2,75
68,World Driver Championship,Nintendo 64,75
69,WWE All Stars,PlayStation 3,75
70,Last Day of June,PlayStation 4,75
71,Def Jam Rapstar,PlayStation 3,75
72,Rugby 2005,Xbox,75
73,Payday 2,Xbox 360,75
74,Zone of the Enders HD Collection,Xbox 360,75
75,Ridge Racer 3D,3DS,75
76,Painkiller: Battle out of Hell,PC,75
77,Art Academy,DS,75
78,Bloody Roar: Primal Fury,GameCube,75
79,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,PlayStation Vita,75
80,SingStar Country,PlayStation 2,75
81,Fate/Extella Link,PlayStation 4,75
82,Below,PlayStation 4,75
83,Call of Duty: World at War,DS,75
84,Black & White 2,PC,75
85,Raiden V,Xbox One,75
86,Pursuit Force,PSP,75
87,Dragon Star Varnir,PlayStation 4,75
88,FIFA Manager 10,PC,75
89,Legend of Keepers: Career of a Dungeon Manager,PC,75
90,Evil Genius 2: World Domination,PC,75
91,Project Wingman,PC,75
92,Taito Legends,PC,75
93,ToeJam & Earl: Back in the Groove!,Switch,75
94,Nano Assault,3DS,75
95,Earth Defense Force: World Brothers,PlayStation 4,75
96,Assetto Corsa Competizione,Xbox One,75
97,Star Conflict,PC,75
98,The Medium,PC,75
99,The Elder Scrolls Online: Blackwood,PC,75
100,Elebits: The Adventures of Kai and Zero,DS,75
101,We Love Golf!,Wii,75
102,Mortal Kombat 11: Aftermath,PlayStation 4,75
103,Very Very Valet,Switch,75
104,Labyrinth of Refrain: Coven of Dusk,PlayStation 4,75
105,Gravity Crash Ultra,PlayStation Vita,75
106,Anodyne,PC,75
107,Manhunt,PC,75
108,Crimson Sea 2,PlayStation 2,75
109,Disney Sports Soccer,GameCube,75
110,Bomberman Max 2: Red Advance,Game Boy Advance,75
111,Star Wars Galactic Battlegrounds,PC,75
112,Earth 2150: The Moon Project,PC,75
113,FRACT OSC,PC,75
114,Ice Age: Dawn of the Dinosaurs,Wii,75
115,All-Pro Football 2K8,Xbox 360,75
116,Willy Jetman: Astromonkey's Revenge,Switch,75
117,Ken Follett's The Pillars of the Earth,PlayStation 4,75
118,Destiny,Xbox One,75
119,MLB 13: The Show,PlayStation Vita,75
120,Savage 2: A Tortured Soul,PC,75
121,Hard Corps: Uprising,Xbox 360,75
122,SiN Episodes: Emergence,PC,75
123,Call of Duty 4: Modern Warfare,DS,75
124,Guilty Gear XX Accent Core,Wii,75
125,Feel the Magic: XY/XX,DS,75
126,Mafia II,PlayStation 3,75
127,The Denpa Men 3: The Rise of Digitoll,3DS,75
128,Utawarerumono: Mask of Truth,PlayStation 4,75
129,Ittle Dew 2,PlayStation 4,75
130,Shantae and the Pirate's Curse,PlayStation 4,75
131,The Wolf Among Us: Episode 5 - Cry Wolf,PlayStation 3,75
132,Transformers: War for Cybertron,PC,75
133,Ace Combat Zero: The Belkan War,PlayStation 2,75
134,Hero-U: Rogue to Redemption,Switch,75
135,The Room VR: A Dark Matter,PlayStation 4,75
136,The Little Acre,Xbox One,75
137,Stick it to the Man!,PlayStation 4,75
138,Shadowbane,PC,75
139,Fire Emblem: Three Houses - Side Story: Cindered Shadows,Switch,75
140,Immortal Cities: Children of the Nile,PC,75
141,Test Drive Unlimited,PlayStation 2,75
142,The Maw,Xbox 360,75
143,Crossing Souls,PlayStation 4,75
144,Raskulls,Xbox 360,75
145,Jurassic World Evolution: Complete Edition,Switch,75
146,Crying Suns,PC,75
147,Heavy Rain,PC,75
148,BattleForge,PC,75
149,Madden NFL 08,PSP,75
150,Patapon 2 Remastered,PlayStation 4,75
151,Gravity Ghost,PC,75
152,Bugsnax,PlayStation 5,75
153,WWE SmackDown vs. Raw 2011,Xbox 360,75
154,Elebits,Wii,75
155,Full Metal Furies,Xbox One,75
156,The Evil Within,PlayStation 4,75
157,AquaPazza: AquaPlus Dream Match,PlayStation 3,75
158,River City Ransom EX,Game Boy Advance,75
159,The Elder Scrolls Online: Morrowind,PlayStation 4,75
160,Folklore,PlayStation 3,75
161,Syndicate,PlayStation 3,75
162,Magic: The Gathering - Duels of the Planeswalkers,Xbox 360,75
163,RIVE,PlayStation 4,75
164,Chernobylite,PC,75
165,Frontlines: Fuel of War,Xbox 360,75
166,Dead or Alive 5 Ultimate,Xbox 360,75
167,Victor Vran,PC,75
168,Dying Light,PC,75
169,Resident Evil: Revelations 2 - Episode 1: Penal Colony,PlayStation 4,75
170,Roundabout,PC,75
171,The Night of the Rabbit,PC,75
172,Me & My Katamari,PSP,75
173,Archer Maclean's Mercury,PSP,75
174,Front Mission 4,PlayStation 2,75
175,All-Star Baseball 2005,Xbox,75
176,I-Ninja,Xbox,75
177,Dark Age of Camelot: Trials of Atlantis,PC,75
178,Monster Truck Madness,Game Boy Advance,75
179,The Lost Vikings,Game Boy Advance,75
180,Star Wars Jedi Knight II: Jedi Outcast,GameCube,75
181,Aggressive Inline,Game Boy Advance,75
182,Bomberman Max 2: Blue Advance,Game Boy Advance,75
183,Spider-Man: The Movie,PC,75
184,The Typing of the Dead,PC,75
185,SimCoaster,PC,75
186,Super Bust-A-Move,PlayStation 2,75
187,Tom Clancy's Rainbow Six: Rogue Spear,Dreamcast,75
188,Kessen,PlayStation 2,75
189,Disgaea 6: Defiance of Destiny,Switch,75
190,Ruiner,PC,75
191,The Sims 2,PlayStation 2,75
192,Call of Duty: Black Ops II - Revolution,Xbox 360,75
193,Get Even,PC,75
194,Culdcept Saga,Xbox 360,75
195,Wasteland 3: The Battle of Steeltown,PC,75
196,PHOGS!,PC,75
197,Battlezone: Gold Edition,Xbox One,75
198,Pokemon Picross,3DS,75
199,Spin the Bottle: Bumpie's Party,Wii U,75
200,PlayStation All-Stars Battle Royale,PlayStation Vita,75
201,Iron Brigade,PC,75
202,Naruto: Ultimate Ninja Storm,PlayStation 3,75
203,I Am Setsuna,Switch,75
204,Alice: Madness Returns,PC,75
205,Concrete Genie,PlayStation 4,75
206,Hitman - Intro Pack,PC,75
207,Not a Hero,PC,75
208,Afterparty,PC,75
209,LEGO Rock Band,PlayStation 3,75
210,Bloodroots,Switch,75
211,Persona Dancing: Endless Night Collection,PlayStation 4,75
212,Valentino Rossi The Game,PlayStation 4,75
213,GRID Autosport,PlayStation 3,75
214,Star Trek: Bridge Crew,PlayStation 4,75
215,The Sims 2,Xbox,75
216,Attack on Titan 2,PlayStation 4,75
217,Scarface: The World Is Yours,PlayStation 2,75
218,OMNO,PC,75
219,Ghost of a Tale,PC,75
220,Tokyo Xanadu eX+,PlayStation 4,75
221,Table Top Racing: World Tour,Xbox One,75
222,Transformers: Devastation,Xbox One,75
223,Cloudberry Kingdom,Wii U,75
224,And Yet It Moves,PC,75
225,Top Spin 3,PlayStation 3,75
226,Fenix Rage,PC,75
227,Uplink: Hacker Elite,PC,75
228,Another World,Switch,75
229,"Sakura Wars: So Long, My Love",Wii,75
230,Quake 4,Xbox 360,75
231,Crash Bandicoot 2: N-Tranced,Game Boy Advance,75
232,Dead Head Fred,PSP,75
233,DiRT Showdown,Xbox 360,75
234,DreamWorks Kung Fu Panda,Xbox 360,75
235,Push Me Pull You,PlayStation 4,75
236,Shank,PlayStation 3,75
237,Yomawari: Night Alone,PlayStation Vita,75
238,Kingdom Hearts 358/2 Days,DS,75
239,Darkwatch,Xbox,75
240,Attentat 1942,PC,75
241,Exit,Xbox 360,75
242,Kerbal Space Program,Xbox One,75
243,Resident Evil: Revelations 2,Xbox One,75
244,Sly Cooper: Thieves in Time,PlayStation 3,75
245,Final Fantasy Fables: Chocobo Tales,DS,75
246,Dark Fall 3: Lost Souls,PC,75
247,Pro Evolution Soccer 2009,PSP,75
248,Blitzkrieg: Burning Horizon,PC,75
249,Transformers,PlayStation 2,75
250,Jurassic Park: Operation Genesis,PlayStation 2,75
251,BloodRayne,PlayStation 2,75
252,Beyond Atlantis II,PC,75
253,Toy Story 2: Buzz Lightyear to the Rescue!,PlayStation,75
254,Need for Speed: Hot Pursuit Remastered,PlayStation 4,75
255,Sleeping Dogs: Definitive Edition,Xbox One,75
256,El Shaddai: Ascension of the Metatron,Xbox 360,75
257,Metal Gear Acid,PSP,75
258,Mighty Goose,Switch,75
259,NBA Live 19,Xbox One,75
260,Game of Thrones: Episode Six - The Ice Dragon,PlayStation 4,75
261,The Dishwasher: Dead Samurai,Xbox 360,75
262,Grand Theft Auto: Vice City Stories,PlayStation 2,75
263,Carto,PlayStation 4,75
264,The Ninja Saviors: Return of the Warriors,PlayStation 4,75
265,My Time At Portia,PlayStation 4,75
266,Hotline Miami 2: Wrong Number,PlayStation 4,75
267,The Wolf Among Us: Episode 4 - In Sheep's Clothing,PC,75
268,The Next Big Thing,PC,75
269,Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,PC,75
270,echoshift,PSP,75
271,WWE SmackDown vs. Raw 2010,DS,75
272,Final Fantasy Crystal Chronicles: Echoes of Time,DS,75
273,Chibi-Robo!,GameCube,75
274,The Bard's Tale,Xbox,75
275,Still Life,PC,75
276,Green Day: Rock Band,Xbox 360,75
277,Shadow of Rome,PlayStation 2,75
278,Sonic Mega Collection Plus,Xbox,75
279,Road Not Taken,PC,75
280,Call of Juarez: Gunslinger,PlayStation 3,75
281,Smash T.V.,Xbox 360,75
282,The Escapists 2,PC,75
283,escapeVektor,3DS,75
284,Tak 2: The Staff of Dreams,GameCube,75
285,Total War: Rome Remastered,PC,75
286,The Dark Eye: Chains of Satinav,PC,75
287,Afterparty,Xbox One,75
288,Nidhogg 2,Switch,75
289,Ode,PC,75
290,Monster Lab,DS,75
291,Game of Thrones: Episode One - Iron From Ice,PC,75
292,Age of Empires III: Definitive Edition,PC,75
293,Chime Sharp,Xbox One,75
294,Metrico+,Xbox One,75
295,Prison Architect,Xbox One,75
296,Need for Speed Carbon,GameCube,75
297,NBA Street Showdown,PSP,75
298,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,Xbox 360,75
299,Nihilumbra,PC,75
300,Dead Nation: Road of Devastation,PlayStation 3,75
301,Command & Conquer 3: Kane's Wrath,Xbox 360,75
302,Myst IV: Revelation,Xbox,75
303,Dungeons 3,PC,75
304,Warp,PC,75
305,Dragon Ball: Advanced Adventure,Game Boy Advance,75
306,Hidden & Dangerous 2,PC,75
307,Dynasty Warriors 4,Xbox,75
308,Mortal Kombat: Tournament Edition,Game Boy Advance,75
309,NHL 2003,PC,75
310,Mat Hoffman's Pro BMX,Dreamcast,75
